191.96.249.97 - - [24/Apr/2017:04:12:23 -0400] "GET /setup.cgi HTTP/1.1" 404 969
125.16.95.11 - - [24/Apr/2017:05:48:53 -0400] "GET /jenkins HTTP/1.1" 302 -
199.19.249.196 - - [24/Apr/2017:05:48:53 -0400] "GET /jenkins HTTP/1.1" 302 -
125.16.95.11 - - [24/Apr/2017:05:48:53 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
167.234.14.243 - - [24/Apr/2017:05:49:37 -0400] "GET /jenkins HTTP/1.1" 302 -
167.234.14.243 - - [24/Apr/2017:05:49:37 -0400] "GET /jenkins/ HTTP/1.1" 403 713
167.234.14.243 - - [24/Apr/2017:05:49:38 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
167.234.14.243 - - [24/Apr/2017:05:49:38 -0400] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1375
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/css/color.css HTTP/1.1" 200 763
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/css/responsive-grid.css HTTP/1.1" 200 4051
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/behavior.js HTTP/1.1" 200 2360
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/css/style.css HTTP/1.1" 200 9013
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/adjuncts/dc3ad335/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/event/event-min.js HTTP/1.1" 200 5146
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/prototype.js HTTP/1.1" 200 37879
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 200 16551
167.234.14.243 - - [24/Apr/2017:05:49:39 -0400] "GET /jenkins/static/dc3ad335/favicon.ico HTTP/1.1" 200 17542
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/ HTTP/1.1" 403 713
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 1375
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/adjuncts/dc3ad335/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/static/dc3ad335/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
167.234.14.243 - - [24/Apr/2017:05:50:56 -0400] "GET /jenkins/static/dc3ad335/css/style.css HTTP/1.1" 200 9013
